epoch,step,proj_loss,lr,eta_min
1,5,5.691393744200468e-05,0.0009944597532678121,3.0
1,10,4.5529606722993776e-05,0.0009779754323328191,3.0
1,15,5.3459905757335946e-05,0.0009509529358847655,3.0
1,20,5.172513556317426e-05,0.0009140576474687263,3.0
1,25,4.5282267819857225e-05,0.0008681980515339464,2.0
1,30,4.8508765758015215e-05,0.0008145033635316131,2.0
1,35,5.102101567899808e-05,0.000754295724882796,2.0
1,40,5.057783346273936e-05,0.0006890576474687264,2.0
1,45,4.955024633090943e-05,0.000620395509268104,2.0
1,50,4.811274629901163e-05,0.00055,1.0
1,55,4.4676893594441935e-05,0.00047960449073189616,1.0
1,60,4.866813833359629e-05,0.0004109423525312738,1.0
1,65,5.260914986138232e-05,0.000345704275117204,1.0
1,70,4.756867201649584e-05,0.0002854966364683872,1.0
1,75,5.268329550744966e-05,0.00023180194846605365,0.0
1,80,4.9296519136987627e-05,0.00018594235253127373,0.0
1,85,4.9978876631939784e-05,0.0001490470641152345,0.0
1,90,5.2839735872112215e-05,0.00012202456766718093,0.0
1,95,5.053641143604182e-05,0.00010554024673218806,0.0
1,100,5.538612458622083e-05,0.0001,0.0
