epoch,step,total_loss,ce_loss,kl_loss,lr,eta_min
1,5,0.9062862396240234,1.2808829545974731,0.5316895246505737,4.9930640008995384e-05,31.0
1,10,1.4802013635635376,2.6512560844421387,0.30914661288261414,4.97229876633906e-05,30.0
1,15,1.5973386764526367,2.2999534606933594,0.8947238922119141,4.9378323208947725e-05,29.0
1,20,1.228533148765564,2.2771527767181396,0.17991358041763306,4.889877161664096e-05,28.0
1,25,1.1715749502182007,2.097903251647949,0.24524669349193573,4.8287289481503954e-05,27.0
1,30,1.4047167301177979,2.4680516719818115,0.34138166904449463,4.7547646794238276e-05,26.0
1,35,0.7569066286087036,1.0920889377593994,0.42172425985336304,4.668440369796708e-05,25.0
1,40,1.2948122024536133,2.3080854415893555,0.28153887391090393,4.570288237343632e-05,24.0
1,45,0.9173547029495239,1.67539644241333,0.15931294858455658,4.4609134226000695e-05,23.0
1,50,0.869193434715271,1.2846513986587524,0.45373544096946716,4.340990257669732e-05,23.0
1,55,0.8028095960617065,1.347144365310669,0.2584748864173889,4.211258108742913e-05,22.0
1,60,0.8730068206787109,0.5401075482368469,1.2059060335159302,4.0725168176580654e-05,21.0
1,65,1.2622795104980469,2.2732577323913574,0.2513013780117035,3.925621770610885e-05,20.0
1,70,1.0664892196655273,1.6934661865234375,0.43951234221458435,3.771478624413981e-05,20.0
1,75,0.6429561376571655,1.073042631149292,0.21286959946155548,3.611037722821452e-05,19.0
1,80,0.8901889324188232,1.2643778324127197,0.5160000324249268,3.4452882373436316e-05,18.0
1,85,1.1825515031814575,2.2665419578552246,0.09856101870536804,3.275252068675788e-05,17.0
1,90,0.9305309653282166,1.5609139204025269,0.30014798045158386,3.1019775463405195e-05,16.0
1,95,1.004892110824585,1.8011813163757324,0.20860302448272705,2.9265329653876518e-05,16.0
1,100,0.6413977146148682,0.7361265420913696,0.5466688871383667,2.7500000000000004e-05,15.0
1,105,1.1858291625976562,1.9031625986099243,0.4684956967830658,2.5734670346123497e-05,14.0
1,110,1.0778186321258545,1.8907572031021118,0.26488009095191956,2.398022453659481e-05,13.0
1,115,0.8122483491897583,1.3683195114135742,0.25617715716362,2.2247479313242124e-05,13.0
1,120,1.174864649772644,1.9252554178237915,0.42447391152381897,2.054711762656369e-05,12.0
1,125,1.3024818897247314,2.419888973236084,0.1850748211145401,1.8889622771785488e-05,11.0
1,130,0.9498943090438843,1.6138617992401123,0.2859267592430115,1.72852137558602e-05,10.0
1,135,1.03125,1.5565029382705688,0.5059970617294312,1.5743782293891153e-05,9.0
1,140,0.9854437112808228,1.7792911529541016,0.19159626960754395,1.427483182341936e-05,9.0
1,145,1.2817226648330688,2.179241895675659,0.38420337438583374,1.288741891257087e-05,8.0
1,150,0.6474393010139465,1.0723950862884521,0.2224835306406021,1.1590097423302684e-05,7.0
1,155,0.6376481056213379,0.45780375599861145,0.8174924254417419,1.0390865773999307e-05,6.0
1,160,1.0312832593917847,1.8949939012527466,0.16757254302501678,9.297117626563687e-06,6.0
1,165,1.2918285131454468,2.4020113945007324,0.18164566159248352,8.315596302032933e-06,5.0
1,170,1.1139906644821167,1.8898431062698364,0.3381381630897522,7.452353205761725e-06,4.0
1,175,0.650089681148529,0.94862300157547,0.35155633091926575,6.712710518496054e-06,3.0
1,180,1.3889044523239136,2.3801815509796143,0.3976273238658905,6.1012283833590465e-06,3.0
1,185,0.996574342250824,1.6329659223556519,0.3601827323436737,5.621676791052278e-06,2.0
1,190,0.9457063674926758,1.5083496570587158,0.38306301832199097,5.277012336609403e-06,1.0
1,195,0.839474618434906,1.4002798795700073,0.2786693871021271,5.069359991004621e-06,0.0
1,200,1.1300066709518433,1.7901771068572998,0.4698362648487091,5e-06,0.0
